Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
15419,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcaella,brevirostris,"(Owen in Gray, 1866)",,,,,"","Irrawaddy Dolphin, Snubfin Dolphin",Orcelle,Delfín Del Irrawaddy,VU,A4cd,3.1,2008,decreasing,N
136315,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcaella,heinsohni,"Beasley, Robertson & Arnold, 2005",,,,,"",Australian Snubfin Dolphin,,,NT,,3.1,2008,unknown,N
15421,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcinus,orca,"(Linnaeus, 1758)",,,,,"","Killer Whale, Orca","Epaulard, Orque","Espadarte, Espadarte, Orca",DD,,3.1,2008,unknown,N
41665,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Otaria,flavescens,"(Shaw, 1800)",,,,,"","South American Sea Lion, Southern Sea Lion",,,LC,,3.1,2008,stable,N
41671,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Pagophilus,groenlandicus,"(Erxleben, 1777)",,,,,"","Greenland Seal, Harp Seal",,FOCA PÍA,LC,,3.1,2008,increasing,N
16564,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Peponocephala,electra,"(Gray, 1846)",,,,,"",Melon-headed Whale,Péponocéphale,"Calderón Pequeño, Calderón Pequeño, Electra, Electra",LC,,3.1,2008,unknown,N
17023,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,largha,"(Pallas, 1811)",,,,,"","Larga Seal, Spotted Seal",,,DD,,3.1,2008,unknown,N
17013,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,vitulina,"Linnaeus, 1758",,,,,"","Common Seal, Harbor Seal, Harbour Seal",PHOQUE VEAU-MARIN,FOCA MOTEADA,LC,,3.1,2008,stable,N
17026,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,hookeri,"(Peters, 1866)",,,,,"","Hooker's Sealion, Hooker's Sea Lion, New Zealand Sealion, New Zealand Sea Lion",,,VU,A3b,3.1,2008,decreasing,N
41715,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,dioptrica,"(Lahille, 1912)",,,,,"",Spectacled Porpoise,"Marsouin À Lunettes, Marsouin De Lahille",Marsopa De Anteojos,DD,,3.1,2008,unknown,N
17027,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,phocoena,"(Linnaeus, 1758)",,,,,"","Common Porpoise, Harbour Porpoise",Marsouin Commun,"Marsopa Común, Marsopa Común",LC,,3.1,2008,unknown,N
17028,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,sinus,"Norris & McFarland, 1958",,,,,"","Cochito, Gulf Of California Harbour Porpoise, Gulf Of California Porpoise, Gulf Porpoise, Vaquita",Marsouin Du Golfe De Californie,,CR,A4d; C2a(ii),3.1,2008,decreasing,N
17029,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,spinipinnis,"Burmeister, 1865",,,,,"","Black Porpoise, Burmeister's Porpoise",Marsouin De Burmeister,Marsopa Espinosa,DD,,3.1,2008,unknown,N
17032,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoenoides,dalli,"(True, 1885)",,,,,"","Dall's Porpoise, White-flanked Porpoise",Marsouin De Dall,Marsopa De Dall,LC,,3.1,2008,unknown,N
41755,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHYSETERIDAE,Physeter,macrocephalus,"Linnaeus, 1758",,,,,"","Cachelot, Pot Whale, Spermacet Whale, Sperm Whale",Cachalot,"Ballena Esperma, Ballena Esperma, Cachalote, Cachalote",VU,A1d,3.1,2008,unknown,N
17978,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,INIIDAE,Pontoporia,blainvillei,"(Gervais & d'Orbigny, 1844)",,,,,"","Franciscana, La Plata River Dolphin",Dauphin De La Plata,"Delfín De La Plata, Tonina",VU,A3d,3.1,2008,decreasing,N
18596,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Pseudorca,crassidens,"(Owen, 1846)",,,,,"",False Killer Whale,Faux-orque,"Orca Falsa, Orca Falsa",DD,,3.1,2008,unknown,N
41672,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Pusa,hispida,"(Schreber, 1775)",,,,,"","Fjord Seal, Jar Seal, Ringed Seal",PHOQUE ANNELÉ,FOCA OCELADA,LC,,3.1,2008,unknown,N
181359,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sotalia,guianensis,"(Van Bénéden, 1864)",,,,,"",Guiana Dolphin,,,DD,,3.1,2010,unknown,N
20424,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sousa,chinensis,"(Osbeck, 1765)",,,,,"","Chinese White Dolphin, Indo-pacific Humpback Dolphin, Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin",Dauphin À Bosse De L'Indo-pacifique,"Bufeo Asiático, Bufeo Asiático, Delfín Blanco De China, Delfín Blanco De China",NT,,3.1,2008,decreasing,N
20425,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Sousa,teuszii,"(Kükenthal, 1892)",,,,,"","Atlantic Hump-backed Dolphin, Atlantic Humpbacked Dolphin, Teusz's Dolphin","Dauphin À Bosse De L'Atlantique, Dauphin Du Cameroun","Bufeo Africano, Delfín Blanco Africano, Delfín Jorobado Del Atlántico",VU,C2a(i),3.1,2008,decreasing,N
20729,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,attenuata,"(Gray, 1846)",,,,,"","Bridled Dolphin, Narrow-snouted Dolphin, Pantropical Spotted Dolphin",Dauphin Tacheté Pantropical,"Delfín Manchado, Delfín Pintado",LC,,3.1,2008,unknown,N
20730,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,clymene,"(Gray, 1846)",,,,,"","Atlantic Spinner Dolphin, Clymene Dolphin, Helmet Dolphin",Dauphin De Clymène,Delfín Clymene,DD,,3.1,2008,unknown,N
20731,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,coeruleoalba,"(Meyen, 1833)",,,,,"","Euphrosyne Dolphin, Striped Dolphin","Dauphin Bleu et Blanc, Dauphin Rayé","Delfín Blanco Y Azul, Delfín Blanco Y Azul, Delfín Listado, Delfín Listado",LC,,3.1,2008,unknown,N
20732,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,frontalis,"(G. Cuvier, 1829)",,,,,"","Atlantic Spotted Dolphin, Bridled Dolphin",Dauphin Tacheté De L'Atlantique,"Delfín Manchado Del Atlántico, Delfín Pintado",DD,,3.1,2008,unknown,N
20733,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Stenella,longirostris,"(Gray, 1828)",,,,,"","Long-beaked Dolphin, Long-snouted Dolphin, Spinner Dolphin",Dauphin Longirostre,"Delfín Tornillón, Estenela Giradora",DD,,3.1,2008,unknown,N
20738,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Steno,bredanensis,"(G. Cuvier in Lesson, 1828)",,,,,"",Rough-toothed Dolphin,Sténo,"Delfín De Pico Largo, Delfín De Pico Largo",LC,,3.1,2008,unknown,N
