"","Order","Family","Species","Occurrence","FishBase name","Name","Use","Use elsewhere","Country"
"5153","Perciformes","Carangidae","Alectis ciliaris","native","African pompano","Pámpano de hebra","minor commercial","minor commercial","Mexico"
"6147","Lamniformes","Alopiidae","Alopias superciliosus","native","Bigeye thresher","Coludo cebucano","minor commercial","commercial","Mexico"
"7135","Lamniformes","Alopiidae","Alopias vulpinus","native","Thresher","Coludo pinto","minor commercial","commercial","Mexico"
"8121","Perciformes","Sparidae","Archosargus probatocephalus","native","Sheepshead","Sargo","commercial","commercial","Mexico"
"9120","Perciformes","Sciaenidae","Atractoscion nobilis","native","White weakfish","Corvina blanca","commercial","minor commercial","Mexico"
"10118","Perciformes","Gobiidae","Awaous banana","native","River goby","","commercial","commercial","Mexico"
"11101","Siluriformes","Ariidae","Bagre marinus","native","Gafftopsail sea catfish","Bagre bandera","commercial","commercial","Mexico"
"1299","Siluriformes","Ariidae","Bagre panamensis","native","Chilhuil sea catfish","Bagre chihuil","minor commercial","commercial","Mexico"
"1379","Tetraodontiformes","Balistidae","Balistes polylepis","native","Finescale triggerfish","Puerco coche","minor commercial","commercial","Mexico"
"1478","Clupeiformes","Clupeidae","Brevoortia gunteri","native","Finescale menhaden","","minor commercial","highly commercial","Mexico"
"1567","Clupeiformes","Clupeidae","Brevoortia patronus","native","Gulf menhaden","","highly commercial","highly commercial","Mexico"
"1667","Perciformes","Carangidae","Carangoides otrynter","native","Threadfin jack","Jurel de hebra","commercial","commercial","Mexico"
"1760","Perciformes","Carangidae","Caranx caballus","native","Green jack","Jurel verde","commercial","commercial","Mexico"
"1855","Perciformes","Carangidae","Caranx caninus","native","Pacific crevalle jack","Jurel caninus","commercial","commercial","Mexico"
"1955","Perciformes","Carangidae","Caranx crysos","native","Blue runner","Cojinuda","minor commercial","minor commercial","Mexico"
"2055","Perciformes","Carangidae","Caranx hippos","native","Crevalle jack","Toro","commercial","commercial","Mexico"
"21107","Perciformes","Carangidae","Caranx sexfasciatus","native","Bigeye trevally","Jurel ojo grande","commercial","commercial","Mexico"
"2277","Perciformes","Carangidae","Caranx vinctus","native","Cocinero","Cocinero","commercial","commercial","Mexico"
"2345","Carcharhiniformes","Carcharhinidae","Carcharhinus acronotus","native","Blacknose shark","","highly commercial","minor commercial","Mexico"
"2444","Carcharhiniformes","Carcharhinidae","Carcharhinus altimus","native","Bignose shark","Tiburón narizón","minor commercial","minor commercial","Mexico"
"2540","Carcharhiniformes","Carcharhinidae","Carcharhinus brevipinna","native","Spinner shark","Jaqueton","minor commercial","commercial","Mexico"
"2638","Carcharhiniformes","Carcharhinidae","Carcharhinus falciformis","native","Silky shark","Jaquetón","commercial","highly commercial","Mexico"
"2738","Carcharhiniformes","Carcharhinidae","Carcharhinus isodon","native","Finetooth shark","","minor commercial","minor commercial","Mexico"
"2836","Carcharhiniformes","Carcharhinidae","Carcharhinus leucas","native","Bull shark","Sarda","commercial","commercial","Mexico"
"2935","Carcharhiniformes","Carcharhinidae","Carcharhinus limbatus","native","Blacktip shark","Tiburón de puntas negras","commercial","commercial","Mexico"
"3033","Carcharhiniformes","Carcharhinidae","Carcharhinus longimanus","native","Oceanic whitetip shark","Tiburón oceánico","minor commercial","commercial","Mexico"
"3197","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","native","Dusky shark","Tiburón obscuro","commercial","commercial","Mexico"
"3236","Carcharhiniformes","Carcharhinidae","Carcharhinus perezii","native","Caribbean reef shark","","minor commercial","commercial","Mexico"
"3330","Carcharhiniformes","Carcharhinidae","Carcharhinus plumbeus","native","Sandbar shark","Tiburón aletón","commercial","commercial","Mexico"
"3429","Carcharhiniformes","Carcharhinidae","Carcharhinus porosus","native","Smalltail shark","Tiburón aletón","minor commercial","minor commercial","Mexico"
"3528","Carcharhiniformes","Carcharhinidae","Carcharhinus signatus","native","Night shark","","minor commercial","commercial","Mexico"
"3626","Cypriniformes","Catostomidae","Carpiodes cyprinus","introduced","Quillback","","commercial","commercial","Mexico"
"3726","Squaliformes","Centrophoridae","Centrophorus granulosus","native","Gulper shark","","minor commercial","minor commercial","Mexico"
"3826","Perciformes","Centropomidae","Centropomus robalito","native","Yellowfin snook","Róbalo de aleta amarilla","minor commercial","commercial","Mexico"
"3924","Perciformes","Centropomidae","Centropomus undecimalis","native","Common snook","Robalo blanco","commercial","commercial","Mexico"
"4022","Clupeiformes","Engraulidae","Cetengraulis mysticetus","native","Pacific anchoveta","Anchoveta bocona","commercial","highly commercial","Mexico"
"4166","Gonorynchiformes","Chanidae","Chanos chanos","native","Milkfish","Chano","minor commercial","highly commercial","Mexico"
"4225","Atheriniformes","Atherinopsidae","Chirostoma chapalae","endemic","Smallmouth silverside","Charal","commercial","commercial","Mexico"
"4324","Atheriniformes","Atherinopsidae","Chirostoma estor","endemic","Pike silverside","Pescado blanco","minor commercial","minor commercial","Mexico"
"4424","Perciformes","Carangidae","Chloroscombrus orqueta","native","Pacific bumper","Casabe","commercial","minor commercial","Mexico"
"4523","Perciformes","Cichlidae","Cichlasoma beani","endemic","Green guapote","Mojarra verde","commercial","commercial","Mexico"
"4623","Perciformes","Cichlidae","Cichlasoma istlanum","endemic","","Mojarra","highly commercial","commercial","Mexico"
"4722","Perciformes","Cirrhitidae","Cirrhitus rivulatus","native","Giant hawkfish","Halcón mero","commercial","commercial","Mexico"
"4822","Perciformes","Coryphaenidae","Coryphaena hippurus","native","Common dolphinfish","Dorado delfin","commercial","highly commercial","Mexico"
"4922","Cyprinodontiformes","Cyprinodontidae","Cualac tessellatus","endemic","Checkered pupfish","Cachorrito de Media Luna","commercial","of no interest","Mexico"
"5019","Perciformes","Sciaenidae","Cynoscion nebulosus","native","Spotted weakfish","Corvina","commercial","commercial","Mexico"
"5154","Perciformes","Sciaenidae","Cynoscion reticulatus","native","","Corvina rayada","minor commercial","minor commercial","Mexico"
"5225","Cypriniformes","Cyprinidae","Cyprinus carpio carpio","introduced","Common carp","Carpa común","highly commercial","highly commercial","Mexico"
"5323","Rajiformes","Dasyatidae","Dasyatis brevis","native","Whiptail stingray","Raya de espina","minor commercial","minor commercial","Mexico"
"5422","Rajiformes","Dasyatidae","Dasyatis longa","native","Longtail stingray","Raya látigo coluda","minor commercial","minor commercial","Mexico"
"5520","Perciformes","Carangidae","Decapterus macrosoma","native","Shortfin scad","Macarela alicorta","commercial","commercial","Mexico"
"5619","Perciformes","Carangidae","Decapterus muroadsi","native","Amberstripe scad","Macarela mexicana","commercial","commercial","Mexico"
"5719","Perciformes","Gerreidae","Diapterus auratus","native","Irish mojarra","","minor commercial","minor commercial","Mexico"
"5819","Perciformes","Gerreidae","Diapterus peruvianus","native","Peruvian mojarra","Mojarra de aletas amarillas","commercial","commercial","Mexico"
"5919","Perciformes","Serranidae","Diplectrum pacificum","native","Inshore sand perch","Serrano cabaicucho","commercial","commercial","Mexico"
"6017","Perciformes","Carangidae","Elagatis bipinnulata","native","Rainbow runner","Macarela salmón","commercial","highly commercial","Mexico"
"6148","Clupeiformes","Engraulidae","Engraulis mordax","native","Californian anchovy","Anchoveta norteña","commercial","commercial","Mexico"
"6223","Perciformes","Serranidae","Epinephelus itajara","native","Atlantic goliath grouper","Mero guasa","minor commercial","minor commercial","Mexico"
"6322","Perciformes","Serranidae","Epinephelus morio","native","Red grouper","Mero americano","commercial","commercial","Mexico"
"6420","Clupeiformes","Clupeidae","Etrumeus teres","native","Red-eye round herring","Sardina canalera","commercial","highly commercial","Mexico"
"6519","Perciformes","Gerreidae","Eucinostomus entomelas","native","Dark-spot mojarra","Mojarra","minor commercial","minor commercial","Mexico"
"6619","Perciformes","Gerreidae","Eucinostomus gracilis","native","Graceful mojarra","Mojarra charrita","minor commercial","minor commercial","Mexico"
"6719","Beloniformes","Exocoetidae","Exocoetus monocirrhus","native","Barbel flyingfish","Volador barbudo","minor commercial","minor commercial","Mexico"
"6819","Syngnathiformes","Fistulariidae","Fistularia commersonii","native","Bluespotted cornetfish","Pez corneta","minor commercial","minor commercial","Mexico"
"6918","Carcharhiniformes","Carcharhinidae","Galeocerdo cuvier","native","Tiger shark","Tintorera","highly commercial","commercial","Mexico"
"7017","Perciformes","Gempylidae","Gempylus serpens","native","Snake mackerel","Escolar","minor commercial","minor commercial","Mexico"
"7136","Perciformes","Gerreidae","Gerres cinereus","native","Yellow fin mojarra","Mojarra rayada","minor commercial","minor commercial","Mexico"
"7220","Orectolobiformes","Ginglymostomatidae","Ginglymostoma cirratum","native","Nurse shark","Gata manchada","highly commercial","minor commercial","Mexico"
"7317","Cyprinodontiformes","Goodeidae","Girardinichthys viviparus","endemic","Chapultepec splitfin","Mexclapique","minor commercial","minor commercial","Mexico"
"7417","Perciformes","Carangidae","Gnathanodon speciosus","native","Golden trevally","Jurel dorado","commercial","minor commercial","Mexico"
"7516","Cyprinodontiformes","Goodeidae","Goodea atripinnis","endemic","Blackfin goodea","","commercial","commercial","Mexico"
"7616","Pleuronectiformes","Achiridae","Gymnachirus texae","native","Gulf of Mexico fringed sole","","commercial","commercial","Mexico"
"7715","Perciformes","Carangidae","Hemicaranx leucurus","native","Yellowfin jack","Jurel de aleta amarilla","commercial","minor commercial","Mexico"
"7815","Perciformes","Carangidae","Hemicaranx zelotes","native","Blackfin jack","Cocinero","commercial","minor commercial","Mexico"
