"ID","Genus Hybrid","Genus","Species Hybrid","Species","Infraspecific Rank","Infraspecific Epithet","Cultivar","No. Locations","Crop Wild Relative","Red List","Red List 1997","CITES Appendix","CITES Last Assessed","Medicinal Distribution","Medicinal Threatened","Medicinal Cites Listed","Medicinal PartUsed","Medicinal Symptoms Treated","Medicinal Reference"
"2122","","Fragaria","","vesca","","","","103","No","","","","","Europe","","","","","21"
"224395","","Frangula","","purshiana","","","","12","No","","","","","US","x","","","","17"
"2128","","Fraxinus","","ornus","","","","131","No","","","","","Europe","","","","","21"
"25037","","Fraxinus","","rhynchophylla","","","","16","No","","","","","China","","","","","22"
"16141","","Frerea","","indica","","","","24","No","","Endangered","II","1985-08-01","India","x","","","","14, 27"
"25186","","Fritillaria","","cirrhosa","","","","10","No","","","","","China","","","","","22"
"25095","","Fritillaria","","roylei","","","","4","No","","","","","India","x","","","","24, 14"
"25168","","Fritillaria","","thunbergii","","","","13","No","","","","","China","","","","","22"
"25154","","Fritillaria","","verticillata","","","","26","No","","","","","China","","","","","22"
"25253","","Fumaria","","muralis","","","","3","No","","","","","Africa","","","","","34"
"25256","","Fumaria","","officinalis","","","","31","No","","","","","Europe","","","","","21"
"25255","","Fumaria","","vaillantii","","","","8","No","","","","","India","","","whole plant","anti-pyretic, blood-purifier, diuretic","12"
"25258","","Funtumia","","elastica","","","","12","No","","","","","Africa","","","","","36"
"25312","","Galanthus","","nivalis","","","","117","No","","","II","1990-01-18","","x","Appendix II","","","13"
"25318","","Galanthus","","woronowii","","","","36","No","","","II","1990-01-18","Georgia , Russian Federation , Turkey","x","Appendix II","","","13"
"25331","","Galax","","urceolata","","","","37","No","","","","","US","x","","","","17"
"2172","","Galega","","officinalis","","","","77","No","","","","","Europe","","","","","21"
"25344","","Galeopsis","","speciosa","","","","17","No","","","","","Europe","","","","","21"
"25349","","Galinsoga","","parviflora","","","","20","No","","","","","Africa","","","","","34"
"25355","","Galium","","aparine","","","","47","No","","","","","Europe","","","","","21"
"25360","","Galium","","odoratum","","","","119","No","","","","","Europe","","","","","21"
"2173","","Galium","","verum","","","","80","No","","","","","Europe","","","","","21"
"98883","","Garcinia","","indica","","","","1","Yes","","Indeterminate","","","India","x","","","","24"
"70356","","Garcinia","","kola","","","","3","Yes","Vulnerable","","","","Africa","","","","","7"
"6597","","Garcinia","","xanthochymus","","","","19","Yes","","","","","India","","","","","10"
"2179","","Gardenia","","jasminoides","","","","59","No","","","","","China","","","","","22, 42"
"103681","","Gardenia","","spatulifolia","","","","3","No","","","","","Africa","x","","","","29"
"2182","","Gardenia","","volkensii","","","","12","No","","","","","Africa","x","","","","25"
"71525","","Garuga","","pinnata","","","","1","No","","","","","India","","","gum resin","cough and cold, gout","12"
"4953","","Gasteria","","batesiana","","","","40","No","","","","","Africa","x","","","","37"
"101606","","Gastrodia","","elata","","","
","1","No","","","II","2005-01-12","Bhutan , China , Democratic People's Republic of Korea , India , Japan , Korea, Republic of , Nepal","x","Appendix II","","","42, 22, 13"
"17285","","Gaultheria","","fragrantissima","","","","8","No","","","","","India","","","leaf","cough, neuralgia, rheumatism, sciatica, tumour, insect repellant","12"
"12283","","Gaultheria","","procumbens","","","","101","No","","","","","US","x","","","","17"
"2192","","Gelsemium","","sempervirens","","","","47","No","","","","","US","x","","","","17"
"2193","","Genipa","","americana","","","","16","No","","","","","South America","","","","","31"
