"cwr_id","orig_record","sp","spp","var","auth"
543,"Elymus hispidus subsp. pouzolzii (Godr.) Melderis","Elymus hispidus","pouzolzii",,"(Godr.)"
544,"Ensete ventricosum (Welw.) Cheesm.","Ensete ventricosum",,,"(Welw.) Cheesm."
545,"Eruca vesicaria (L.) Cav. subsp. vesicaria ","Eruca vesicaria","vesicaria",,"(L.) Cav. subsp. vesicaria "
546,"Eruca vesicaria subsp. pinnatifida (Desf.) Thell.","Eruca vesicaria","pinnatifida",,"(Desf.)"
547,"Eruca vesicaria subsp. sativa (Mill.) Thell.","Eruca vesicaria","sativa",,"(Mill.)"
548,"Erucastrum canariense Webb & Berthel.","Erucastrum canariense",,,"Webb & Berthel."
549,"Erucastrum gallicum (Willd.) O. E. Schulz","Erucastrum gallicum",,,"(Willd.) O. E. Schulz"
550,"Ficus abelii Miq.","Ficus abelii",,,"Miq."
551,"Ficus androchaete Corner","Ficus androchaete",,,"Corner"
552,"Ficus aurata (Miq.) Miq.","Ficus aurata",,,"(Miq.) Miq."
553,"Ficus aureocordata Corner","Ficus aureocordata",,,"Corner"
554,"Ficus auricoma Corner ex C. C. Berg","Ficus auricoma",,,"Corner ex C. C. Berg"
555,"Ficus boninsimae Koidz.","Ficus boninsimae",,,"Koidz."
556,"Ficus bruneiensis Corner","Ficus bruneiensis",,,"Corner"
557,"Ficus brunneoaurata Corner","Ficus brunneoaurata",,,"Corner"
558,"Ficus carica L.","Ficus carica",,,"L."
559,"Ficus carica subsp. rupestris (Hausskn. ex Boiss.) Browicz","Ficus carica","rupestris",,"(Hausskn."
560,"Ficus chapaensis  Gagnep.","Ficus chapaensis",,," Gagnep."
561,"Ficus deltoidea Jack","Ficus deltoidea",,,"Jack"
562,"Ficus deltoidea subsp. motleyana (Miq.) C. C. Berg","Ficus deltoidea","motleyana",,"(Miq.)"
563,"Ficus diamantiphylla Corner","Ficus diamantiphylla",,,"Corner"
564,"Ficus edanoi Merr.","Ficus edanoi",,,"Merr."
565,"Ficus endospermifolia Corner","Ficus endospermifolia",,,"Corner"
566,"Ficus erecta Thunb.","Ficus erecta",,,"Thunb."
567,"Ficus eumorpha Corner","Ficus eumorpha",,,"Corner"
568,"Ficus filicauda Hand.-Mazz.","Ficus filicauda",,,"Hand.-Mazz."
569,"Ficus formosana Maxim.","Ficus formosana",,,"Maxim."
570,"Ficus gasparriniana Miq.","Ficus gasparriniana",,,"Miq."
571,"Ficus glareosa Elm.","Ficus glareosa",,,"Elm."
572,"Ficus heteromorpha Hemsl.","Ficus heteromorpha",,,"Hemsl."
573,"Ficus hirta subsp. dumosa (King) C. C. Berg","Ficus hirta","dumosa",,"(King)"
574,"Ficus hirta subsp. ochracea C. C. Berg","Ficus hirta","ochracea",,"C."
575,"Ficus hirta subsp. roxburghii (Miq.) C. C. Berg","Ficus hirta","roxburghii",,"(Miq.)"
576,"Ficus hirta Vahl subsp. hirta ","Ficus hirta","hirta",,"Vahl subsp. hirta "
577,"Ficus iidaiana Rehder & E.H.Wilson","Ficus iidaiana",,,"Rehder & E.H.Wilson"
578,"Ficus inaequipetiolata Merr.","Ficus inaequipetiolata",,,"Merr."
579,"Ficus ischnopoda Miq.","Ficus ischnopoda",,,"Miq."
580,"Ficus kofmanae C. C. Berg","Ficus kofmanae",,,"C. C. Berg"
581,"Ficus lamponga Miq.","Ficus lamponga",,,"Miq."
582,"Ficus langkokensis Drake","Ficus langkokensis",,,"Drake"
583,"Ficus litseifolia Corner","Ficus litseifolia",,,"Corner"
584,"Ficus macilenta King","Ficus macilenta",,,"King"
585,"Ficus mollissima Ridley","Ficus mollissima",,,"Ridley"
586,"Ficus neriifolia Sm.","Ficus neriifolia",,,"Sm."
587,"Ficus oleifolia King","Ficus oleifolia",,,"King"
588,"Ficus oreophila Ridley","Ficus oreophila",,,"Ridley"
589,"Ficus padana Burm. f.","Ficus padana",,,"Burm. f."
590,"Ficus palmata Forssk.","Ficus palmata",,,"Forssk."
591,"Ficus pandurata Hance","Ficus pandurata",,,"Hance"
592,"Ficus pedunculosa Miq.","Ficus pedunculosa",,,"Miq."
593,"Ficus pustulata Elm.","Ficus pustulata",,,"Elm."
594,"Ficus pyriformis Hook & Arn.","Ficus pyriformis",,,"Hook & Arn."
595,"Ficus ruficaulis Merr.","Ficus ruficaulis",,,"Merr."
596,"Ficus schefferiana King","Ficus schefferiana",,,"King"
597,"Ficus setiflora Stapf","Ficus setiflora",,,"Stapf"
598,"Ficus simplicissima Lour.","Ficus simplicissima",,,"Lour."
599,"Ficus stenophylla Hemsl.","Ficus stenophylla",,,"Hemsl."
600,"Ficus subfulva Corner","Ficus subfulva",,,"Corner"
601,"Ficus subglabritepala C. C. Berg","Ficus subglabritepala",,,"C. C. Berg"
602,"Ficus tannoensis Hayata","Ficus tannoensis",,,"Hayata"
